 x2; P/kPa; ∆P/Pa; γ1; γ2; GE/J‚mol-1;
;;;;;;
0.1029;5.534; -3.0;1.0584; 3.5858;422.0;
0.1957;1.728;12.0; 1.1473; 2.2322;619.0;
0.2650;1.687;13.0; 1.2241; 1.7942;702.0;
0.3503;1.600; -6.0; 1.329; 1.4886;750.0;
0.4477; 1.491;12.0; 1.4625; 1.2874;747.0;
0.5528;1.339;-12; 1.6240; 1.1586;690;
0.6397;1.191;3;  1.7723; 1.0918 ;607;
0.7345;0.964;1; 1.9507; 1.0449;485;
0.8543;0.603;6; 2.2038; 1.0121;290;
0.9136;0.384;8; 2.3418;  1.0041;179;
;;;;;;T=283.15K
 0.1029; 2.374;16.0;  1.0602 ;  3.5033;427;
 0.1957; 2.301;9.0;  1.1493; 2.1789;622;
0.2650; 2.236;3.0;  1.2252; 1.7561;703;
 0.3504; 2.125; -14.0; 1.3279;  1.4629;748;
 0.4477;  1.984; -11.0;  1.4569;  1.2709;742;
 0.5529;  1.779; -7.0;  1.6108; 1.1488;682;
 0.6398;  1.569; 6.0; 1.7502;  1.0857;599;
 0.7345;  1.272; 12.0; 1.9158;  1.0417;477;
 0.8543; 0.769; -6.0; 2.1467;  1.0112 ;284;
 0.9136;  0.489; 3.0;  2.2708;  1.0038;175;
;;;;;;T=288.15 K
0.1033; 12.955;23; 1.0388; 2.8348;375;
0.1965; 12.424;72; 1.1071; 1.9570;565;
0.2658; 11.946;35; 1.1683; 1.6339;647;
0.3516; 11.259;-24; 1.2530; 1.3952;697;
0.4492; 10.348;-53; 1.3596; 1.2333;697;
0.5544; 9.159;-38; 1.4861; 1.1284;644;
0.6413; 7.965;-6; 1.5990; 1.0739;566;
0.7358; 6.357;-3; 1.7310; 1.0359;452;
0.8552; 3.914;50; 1.9113; 1.0096;270;
0.9141; 2.466;44; 2.0060; 1.0032;166;
;;;;;;T=323.15K
